,Ulasan,Label,clean_teks
0,Pesanan gx sesuai dgn yg d gambar,0,pesan sesuai d gambar
1,Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,0,kirim respon super cepat barang sesuai gambar kuat tembus jok motor
2,barang yg dikirim tidak sesuai pesanan,0,barang kirim sesuai pesan
3,"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",0,php bilang isi skripsi pas sen beda mubajir rp isi ga cocok
4,barang jelek copot&#34; terus tmpat taro isinya,0,barang jelek copot taro isi
5,Beli staples gak jual isinya... hanya sekali pake.... ckckck,0,beli staples gak jual isi pake ckckck
6,"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",0,ngirim barangdiperiksa gan kondisi barang layak gak gitu loh isi karat
7,"Produk tidak sesuai, order prohex yg dikirim ini",0,produk sesuai order prohex kirim
8,brg sdh diterima.................,0,barang terima
9,tidak bisa buat masang jok gak ke pake,0,masang jok gak pake
10,"barang datang cacat ,gak bisa di gunakan 
harusnya sblum di kirim di coba dulu",0,barang cacat gak sblum kirim coba
11,"Kecewa baru dipakey isiya kluar sampai 2 3 buah
Dipapan nggak nempel",0,kecewa dipakey isiya kluar buah papan nggak nempel
12,Barang kurang bagus. Pengiriman pakai pos lama sekali.,0,barang bagus kirim pakai pos
13,"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",0,hasil staples rapat bidang produk cacathadeeuh
14,barang standart n biasa aja kurang good...,0,barang standart n aja bagus
15,Barangnya rusak..kecewa berat,0,barang rusakkecewa berat
16,Beli 5 tdk bs dipakai semua,0,beli bs pakai
17,"Straples nya gk bs dipake,  udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi 😢",0,straples nya gk bs dipake udh coba kali bwt pasang jaring nyamuk straples tembak bah triplek aja gk nembus udh ketok palu lgi
18,mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,0,harga susah dipakehehe staples gak nancep sampe oenuh
19,gagal.........................,0,gagal
20,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,0,ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff
21,"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",0,seller komunikatif niat pake instant courier biar tp barang kirim kabar ga berani balas udah ngajuin batal tetep aja kirim dosa moga ga buyer dapet laku kyk gin
22,"barang nya kayak bekas ya gan..
tapi pengiriman ceoat",0,barang nya kayak bekas ya gan kirim ceoat
23,barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok,0,barang gak sesuai buset banget dikirimnyakapok
24,"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",0,model brang sesuai deskripsi ukur nya ndak sesuai ya ukur sesuai ukur spatunya kyk ukur kaki no kasih foto sepatu coba pakai
25,"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",0,rekomen kaki masuk sepatu sablon kualitas not ok
26,"Apakah sepatunya boleh di retur? Kualitas bahan kanan dan kiri berbeda, tebelnya beda, tinggi nya juga beda",0,sepatu retur kualitas bahan kanan kiri beda tebelnya beda nya beda
27,Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya,0,brng sy pesan uang sy transfr tp brmg sy trima jgn pesan pke wahana cargo ad solusi dr toped ut mngembalikan uang
28,"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat 👏👏",0,sesuai minta warna pas ngakunya udh chat ga pdhl ga chat
29,Suckkkk..............................................,0,suckkkk
30,"Produk bagus, tapi QC kurang. Pipa nya beda ukuran 1batang, jadi hanya 2 rak yg terpasang",0,produk bagus qc pipa nya beda ukur batang rak pasang
31,Saya sangat kecewa karna ACC nya tidak lengkap,0,kecewa karna acc nya lengkap
32,"Kurang sesuai dengan expektasi, karena terdapat kecacatan pada konektor, dan memiliki panjang tiang yang tidak imbang",0,sesuai expektasi cacat konektor milik tiang imbang
33,Ada 1 bagian yg tidak ada,0,
34,minta dibatalin udah ajuin pembatalan malah dikirim. udah dikonfirmasi ukuran dan model salah. !,0,dibatalin udah ajuin batal kirim udah konfirmasi ukur model salah
35,"Kotak rusak, lem sepatunya gk bngt",0,kotak rusak lem sepatu gk bngt
36,Tidak sesuai dengan yang di kasi liat,0,sesuai kasi liat
37,"Respon lambat pengiriman lama barang yang di kirim tidak sesuai , saya kecewa",0,respon lambat kirim barang kirim sesuai kecewa
38,"Masih bisa diklem gak nih kualitas barang sangat buruk, lemnya gak nempel pada ngelupas
Jujur saya sangat kecewa",0,klem gak nih kualitas barang buruk lem gak nempel ngelupas jujur kecewa
39,"Pengirimnya lama, prosesnya juga lamaaaa",0,kirim proses lamaaaa
40,Lebih teliti lg ya gan kalau ngasih informasi,0,teliti lg ya gan ngasih informasi
41,"Order tanggal 19 pake JNE yes,  
Baru sampe tanggal 25 entah salahnya dimana",0,order tanggal pake jne yes sampe tanggal salah mana
42,"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",0,barang nya jelek bgt kasih org malu foto bagus produk asli nya beli
43,Gx sesuai dgn gambar. Gambar comot di google,0,sesuai gambar gambar comot google
44,"awalnya lupa tulisan ukuran, dan penjual juga ga nanya,, akhirnya  ukuran yg dikirim  ukuran  40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer.",0,lupa tulis ukur jual ga nanya ukur kirim ukur retur jual cuman bilang iya doang ga action udah bulan ga proses parah tokpedia lanjut dana jual ikut proses komplian sesuai tunjuk tokped harga customer
45,"Pesen  warna A yg d kirim warna B...nga ssuai klw dlam pesenan
 Abis gtu ukuranya kcill😢",0,sen warna a d kirim warna bnga ssuai klw dlam sen abis gtu ukuranya kcill
46,"Respon sih cepat satu hari langsung,tapi pengiriman nya agak lama hampir 4 hari tapi baranh sesuai dengan harga.Seller kadang ga jawab pertanyaan.Tolong tingkatkan lagi.TAPI barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit.☺",0,respon sih cepat langsungtapi kirim nya baranh sesuai hargaseller kadang ga pertanyaantolong tingkat lagitapi barang bagus sesuai harga kelupas sedikit
47,"Sangat mengecwakan, pesan 2 sepatu yg dikirim hanya 1 sepatu, di wa dan dintelfon tidak permah mau bls dangkat,
udah gitu kualitas sepatu jelek, dijamin bakal kecewa beli disini",0,mengecwakan pesan sepatu kirim sepatu wa dintelfon mah bls dangkat udah gitu kualitas sepatu jelek jamin kecewa beli
48,barang sudah diterima kualitas kurang memuaskan,0,barang terima kualitas muas
49,tidak puas.........................,0,puas
50,"produk, tidak sesuai dengan gambar.",0,produk sesuai gambar
51,terima kasih aja. proses lama,0,terima kasih aja proses
52,Pesan 3..patah 2 .. packing kurang aman,0,pesan patah packing aman
53,"Seller ok. Packing rapi dan pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",0,seller ok packing rapi kirim cepat ga cuman produk sesuai ekspektasi dinding kokoh lentur pasang simple terima kasih btw
54,trimstrimstrimstrimstrimstrimstrimstrimstrims,0,terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih terima kasih
55,"Mengecewakan, intinya aku sangat kecewa 😒",0,kecewa inti kecewa
56,"Ukurannya kekecilan, next buat yang lain, lebihin 1 ukuran dari sepatu yang biasa kalian pakai.",0,ukur kecil next lebihin ukur sepatu pakai
