Ulasan,Label
Pesanan gx sesuai dgn yg d gambar,0
Pengiriman dan respon super cepat. Tpi barang tidak sesuai gambar dan tidak kuat untuk menembus jok motor.,0
barang yg dikirim tidak sesuai pesanan,0
"Php, bilang isi ada diseskripsi pas dipesen berbeda, mubajir rp50.000 ternyata isinya ga cocok",0
barang jelek copot&#34; terus tmpat taro isinya,0
Beli staples gak jual isinya... hanya sekali pake.... ckckck,0
"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",0
"Produk tidak sesuai, order prohex yg dikirim ini",0
brg sdh diterima.................,0
tidak bisa buat masang jok gak ke pake,0
"barang datang cacat ,gak bisa di gunakan 
harusnya sblum di kirim di coba dulu",0
"Kecewa baru dipakey isiya kluar sampai 2 3 buah
Dipapan nggak nempel",0
Barang kurang bagus. Pengiriman pakai pos lama sekali.,0
"Hasil staples tidak rapat pada bidang, mungkin dapat produk cacat..hadeeuh",0
barang standart n biasa aja kurang good...,0
Barangnya rusak..kecewa berat,0
Beli 5 tdk bs dipakai semua,0
"Straples nya gk bs dipake,  udh dicoba berkali2 bwt pasang jaring nyamuk straples ditembak dibahan triplek aja gk nembus udh itu harus diketok2 Palu lgi 😢",0
mungkin karena harga juga.. jadi susah dipake..hehe staplesnya gak nancep sampe oenuh..,0
gagal.........................,0
ggdjkkjfkghfyhdjhugfvkchzndfjhadfafhjkkiutff,0
"SELLER TIDAK KOMUNIKATIF, NIATNYA PAKE INSTANT COURIER BIAR SEGERA SAMPAI, TP BARANG DIKIRIM 2 HARI KEMUDIAN TANPA KABAR SAMA SEKALI, DITANYA GA BERANI BALAS, UDAH NGAJUIN PEMBATALAN TETEP AJA DIKIRIM TANPA DOSA.. SEMOGA GA ADA LAGI YG BUYER DAPET PERLAKUAN KYK GINI",0
"barang nya kayak bekas ya gan..
tapi pengiriman ceoat",0
barang ada yg gak sesuai sama buset lama banget dikirimnya.....kapok,0
"Model brang sdh sesuai deskripsi... Tapi kenapa ukuran 44nya ndak sesuai ya.. ukuran panjang sesuai tapi ukuran tinggi spatunya kyk ukuran kaki no 40. 

Aku kasih foto sepatunya yg tak coba aku pakai.",0
"Tidak recommended, kaki tidak bisa masuk, sepatu seperti sablonan, kualitas not ok",0
"Apakah sepatunya boleh di retur? Kualitas bahan kanan dan kiri berbeda, tebelnya beda, tinggi nya juga beda",0
Brng sy pesan. Uang sy transfr tp brmg tdk sy trima. Jgn. Pesan pke wahana cargo. Tdk ad solusi dr toped ut mngembalikan uang saya,0
"Tidak sesuai permintaan warnanya. Pas di tanya, ngaku2nya udh chat kita ga jawab. Pdhl ga ada chat 👏👏",0
Suckkkk..............................................,0
"Produk bagus, tapi QC kurang. Pipa nya beda ukuran 1batang, jadi hanya 2 rak yg terpasang",0
Saya sangat kecewa karna ACC nya tidak lengkap,0
"Kurang sesuai dengan expektasi, karena terdapat kecacatan pada konektor, dan memiliki panjang tiang yang tidak imbang",0
Ada 1 bagian yg tidak ada,0
minta dibatalin udah ajuin pembatalan malah dikirim. udah dikonfirmasi ukuran dan model salah. !,0
"Kotak rusak, lem sepatunya gk bngt",0
Tidak sesuai dengan yang di kasi liat,0
"Respon lambat pengiriman lama barang yang di kirim tidak sesuai , saya kecewa",0
"Masih bisa diklem gak nih kualitas barang sangat buruk, lemnya gak nempel pada ngelupas
Jujur saya sangat kecewa",0
"Pengirimnya lama, prosesnya juga lamaaaa",0
Lebih teliti lg ya gan kalau ngasih informasi,0
"Order tanggal 19 pake JNE yes,  
Baru sampe tanggal 25 entah salahnya dimana",0
"Barang nya jelek bgt , saya mau kasih ke Org pun malu , mungkin ini foto lebih bagus dari produk asli nya
Saya tdk akan beli lagi",0
Gx sesuai dgn gambar. Gambar comot di google,0
"awalnya lupa tulisan ukuran, dan penjual juga ga nanya,, akhirnya  ukuran yg dikirim  ukuran  40,, minta retur ke 42 ,, penjual cuman bilang iya doang,, ga ada action,, udah sebulan ga diproses,, yang parahnya tokpedia malah melanjutkan dana ke penjual. padahal sudah mengikuti proses komplian sesuai petunjuk tokped. Benar&#39;&#39; tidak menghargai customer.",0
"Pesen  warna A yg d kirim warna B...nga ssuai klw dlam pesenan
 Abis gtu ukuranya kcill😢",0
"Respon sih cepat satu hari langsung,tapi pengiriman nya agak lama hampir 4 hari tapi baranh sesuai dengan harga.Seller kadang ga jawab pertanyaan.Tolong tingkatkan lagi.TAPI barang bagus lah sesuai harga meskipun ada yang terkelupas sedikit.☺",0
"Sangat mengecwakan, pesan 2 sepatu yg dikirim hanya 1 sepatu, di wa dan dintelfon tidak permah mau bls dangkat,
udah gitu kualitas sepatu jelek, dijamin bakal kecewa beli disini",0
barang sudah diterima kualitas kurang memuaskan,0
tidak puas.........................,0
"produk, tidak sesuai dengan gambar.",0
terima kasih aja. proses lama,0
Pesan 3..patah 2 .. packing kurang aman,0
"Seller ok. Packing rapi dan pengiriman cepat. Ga ada masalah. Cuman produknya kurang sesuai ekspektasi, dindingnya kurang kokoh terlalu lentur, pemasangan kurang simple. Thanks btw",0
trimstrimstrimstrimstrimstrimstrimstrimstrims,0
"Mengecewakan, intinya aku sangat kecewa 😒",0
"Ukurannya kekecilan, next buat yang lain, lebihin 1 ukuran dari sepatu yang biasa kalian pakai.",0
biarkan bintang yang berbicara,0
"saya, kecewa dengan sistem pengerjaan untuk di kirim ke jasa pengiriman nya. menyediakan jasa YES (yakin esok sampai) tapi disamakan dengan pengiriman reguler. bukan salah kurir ini salah seller yg tidak segera mungkin menindak yg harusnya di prioritaskan barang yg harusnya satu hari sampai , menjadi 2 hari. entah di sengaja apa tidak ini sistem yang buruk menurut saya. selamat 28rb jasa YES nya bisa anda claim karna mereka tidak berhasil kirim 1 hari paket nya, lumayan buat tambah2 omset itu.. jika memang di sengaja selamat anda berhasil, dan membuat kekacauan yg cukup menyedihkan buat saya. tp jika tidak ya semoga kedepan lebih baik lagi. maaf ini pengalaman terburuk saya",0
"Barang Standar,sesuai dngan harga nya",0
ternyata hanya sablon aj dilogo,0
bahan tipis sekali.....semoga kuat sj...,0
"Barang dikirim sangat cepat. Komunikasi yang baik. Barang tidak tahan lama, lebih baik pakai di dalam.",0
Terlalu lama mulai tanggal 14 baru sampainya tanggal 30 hampir setengah bulan,0
"tidak puas, saya dirugikan, kualitas barang saya terima sangat buruk",0
"ukuran yg dikirim tidak sesuai, malah ukuran yg diminta seperti ditulis ulang",0
model pesanan sesuai tapi kualitas barang yg ditampilkan dgn barang yg diterima jauh sekali (kasar sekali),0
Kurang bagus karena gak kena klipnya jadi gak kencang,0
Sepertinya salah kirim !! Saya pesan size pria di chat 34 c 13 c 22. Ga cukup buat sneaker!! . Saya mau dikembalikan ini gimanaaa. Ongkornya mahal lo iniiii!,0
"Tali sepatunya belang, saya tidak suka dan tidak sesuai pesanan nmr.42 dikirim nmr.40",0
"Barang si oke saya pesan navy size 42 yg dikirim hitam Size 41 , dan packing nya tidak rapih ,,,",0
"Barang sudah diterima ,hanya saja kecewa dengan pengirimannya yg lama",0
Ngak ada talinya warna juga kurang sesuai,0
Lem nya kurang rapih dan enteng banget,0
"😥😥 not good quality, not even close.",0
"speaker tidak jelas, jadi belum bisa dipakai",0
"Paketannya sdh sampai, kecewa ! Pantesan aja murah bkn samsung asli",0
"Beli 2 biji, 2-2 patah di tmpt yg sama di bagian pertemuan per dgn suction.",0
"barang sesuai deskripsi tetapi tidak bs menempel pd interior mobil yg bergelombang, kualitas plastik jg meragukan...",0
Saya pikir bahannya bagus.. tp ya sudahlah.. wong harganya juga ga mahal... klu kawan2 punya selera yg lebih sy sarankan utk berfikir kembali mengambil produk ini krn memang pas2an...maklum ada harga ada kualitas...,0
"kualitas barang rendah tp ya sesuai harganya, juga Barang datang dengan kondisi kaca pecah.",0
Ball head nya tidak bisa mengunci sama sekali.,0
Tidak memuaskan dan komplain lama respon.,0
Cek dlu bos. Gerigi penahan nya kok lepas trus..  Yg ada malah hp nya jatoh,0
Barang kasar banget dan tidak sesuqi dengan foto,0
"Kagak pas di motor ninja 250 fi.. 
Sama kagak pas di polygon stratos..",0
"Kirim barang nya sdh rusak...
Dikomplain malah ga terima maki&amp;#34; dan menghina pembeli",0
Buat dewasa bukan anak kegedean,0
Barang rusak dikirim,0
warna tdak sma dgn gambar....trima kasih,0
"Pengaitnya gak kuat, gampang goyang jd gampang jatuh. Jd saya kasih lem korea buat perekatnya lg biar ga mudah jatuh",0
Penjual tidak responsif. Item dalam box tidak lengkap. Tidak bisa di gunakan. Not recommended seller.,0
Pengirimannya terlalu lama.... No rekomen deh,0
tidak sesuai gambar..,0
hp rusak ga bs dipake sama sekali.,0
Bintang yang menilai semua............,0
Batteray hp tidak original dan batteray cepat habis atau cepat lowbet,0
"Agak kecewa sama barang yg diorder, ditanya warna merah katanya ready tapi yg dikirim warna hitam",0
"Baterai baru sehari udh bau gosong ,,untung ga meledak ,,",0
"Produk buruk. Tidak bisa dipake, buang tempat sampah. Casing terbuka dan sim tidak bisa terbaca. Mending beli produk 2nd dari produk ini...",0
cashing gak nempel batre drop.. apesss,0
Tombol atas nya ga berfungsi,0
"Barang kawe kawe ya. Barang kurang berfungsi, ga bisa baca memori, gak bisa bluethoot. Tadinya sy pikir asli. Ternyata bukan.",0
Kualitasnya tidak sesuai dg merk nya,0
"Barang yg saya terima bukan original nokia, kecewa.",0
"Barang rusak semua, hp china bener2 payah,  sesuai harga kualitas jelek,  maklum lah,  harga beda 2x lipat dgn yg asli.",0
Batt nya cepet abis...Bukan seperti Nokia Yg terdahulu...😭,0
Barang udah sampe kmaren,0
"Beli 2 dan 1 nya gak bisa digunain, alias rusak...",0
"Tulisan &#34;SUPERCOPY&#34; atau REPLIKA sebaiknya ditulis lebih jelas lagi, ditambahkan di nama produk, kecuali jika memang mengincar juga pembeli yg kurang cermat seperti saya :p",0
Suara nya jelek bgd..nerima maupun telp..baterainya jg..gak d pake sehari habis..keypad nya jg susah,0
Casannya gak bs ngisi dan batre nya cpt habis,0
"Sangat kecewa,.......
..........",0
brng tdk sesui.pesan warna biru dkirm warna merah,0
"Barang sesuai deskripsi. Dari sisi fungsional, kualitas barang kurang baik mungkin krn ini harganya murah. Lampu keypad hanya menyala sebagian, batre longgar sehingga harus diganjal (sy pakai kertas) agar dapat berfungsi, batre hanya tahan 1 hari (pagi - malam), kualitas suara kurang baik.
Klo layanan dari toko cukup baik.",0
Pengiriman cepat hanya hpx tdk bisa putar musik n tobol2x kurang bgs,0
hp mati tidak bisa digunakan,0
Barang ga bisa berfungsi dg baik.,0
"Produk mengecewakan, kualitas barang jelek",0
Batre hp cepat habis alias boros,0
"Beli 3 produk, 2 biji baterai nya bocor, 1 biji kaga bisa di charge, mao kirim balik , ongkir dll susah",0
"Baterai ngedropan tiap 6jam abis padahal cuman stand by,pketan isinya cuman HP&amp;CAS gk ada dusbook....",0
"Barang yg dikirim warna tidak sesuai dengan pemesanan, sangat tidak berkualitas",0
Batere nya cpt habis..😭,0
Beli 5 unit hp disini ga ada yg satupun yg bgus.. penjual bohong..  minta solusi.,0
"Hp yg datang klo telfon ga ada suaranya,kecewa sekali",0
Produknya kw mudah rusak,0
Pengiriman nya lama sekali,0
Barang banyak cacatnya dikomplain lambat nunggu abis garansinya pokoknya ga usah dibeli,0
"Barang sampah bukan nokia ini, kalo jualan yg bener km... hpnya suka suka mati2 sendiri...",0
"Di deskripsi nya di tambahin &#34;barang replika&#34; biar gak kecewa pembeli nya.
Tombol pada jemblos.
Kecewa saya",0
Cuma bertahan 3hari charger nya,0
paket dibungkus dng rapih..dan bgs..smoga unit nya sebagus dng packaging nya.,0
"Baru 3 hari mati, mau retur gak direspon..
Bukan nokia.",0
Tidak ada sinyal nya udah nyoba pake kartu apa pun.,0
"Pesen nya warna biru tapi di kirim warna hitam,untung cuma hp murah",0
Karuan beli produk china aja...barange parah enteng kya krupuk suara speaker parah.layar kya mainan bocah,0
"Tidak sesuai dengan apa yg di terangkan
Mirip kayak hp china",0
Terima kasih banyak ooo tapi barang gak ori,0
"kacanya retak,  kaya hp second",0
"Hp tidak bisa mengeluarkan suara dering, baterai drop.. jelekkk skali.. charger meledak",0
"Gak bisa utk nelpon, cuma bisa cek pulsa doang.. Mau minta tukar",0
Hp mati saat penggunaan pertama...dan gak mau nyala lagi,0
Gan knp setelah d pasang kartu hp gg nyala malah kedap kedip mulu,0
"Jual barang KW, di keterangan ga di kasih keterangan barang KW.. Tau gitu ga jadi transfer deh.. Not recomended 👎",0
"Bluetooth ga bisa ketemu sama hp lain, ga bisa nemuin bluetooth hp lain. Menu musik ga bisa baca lagu yg ada di memori walau udh di refresh.",0
"Batre belum d pakai sudah abis alias dropp belom di pake, padahal abis di carger. Belum sejam udah abis",0
Lumayan bagus walaupun masih agak telat pngiriman,0
"Batre gak awet, barang ringkih",0
